CRIMETYPE,BEGDATE,X,Y,time,difftime
OTH,1/1/09 0:00,6469593.968,1846955.98,39814,0.130158093
AGG,1/1/09 0:00,6477117.805,1807459.51,39814,0.13064478
THEFT,1/1/09 0:00,6460010.7,1826169.9,39814,0.131054648
OTH,1/1/09 0:00,6476064.9,1811214.9,39814,0.131404372
AGG,1/1/09 0:00,6375734.9,1882853.7,39814,0.132248103
OTH,1/1/09 0:00,6469359.225,1851299.911,39814,0.132558658
OTH,1/1/09 0:00,6456905.4,1837840.5,39814,0.134427233
OTH,1/1/09 0:00,6428005.8,1889826.1,39814,0.135827207
OTH,1/1/09 0:00,6462775.996,1859528.249,39814,0.136094759
OTH,1/1/09 0:00,6436573.1,1889354,39814,0.137682319
OTH,1/1/09 0:00,6416329.7,1897223.2,39814,0.138824353
OTH,1/1/09 0:00,6485592.3,1841705.5,39814,0.138966086
OTH,1/1/09 0:00,6453796,1843541.6,39814,0.139170327
OTH,1/1/09 0:00,6488506.622,1802285.809,39814,0.140041739
VAND,1/1/09 0:00,6424224.936,1926858.472,39814,0.141099715
OTH,1/1/09 0:00,6470229,1855086.1,39814,0.141475229
OTH,1/1/09 0:00,6467699.999,1846290.45,39814,0.141743093
THEFT,1/1/09 0:00,6412842.5,1892653.7,39814,0.14201696
OTH,1/1/09 0:00,6481174.156,1850283.521,39814,0.144225821
OTH,1/1/09 0:00,6473672.3,1842076.1,39814,0.144955637
OTH,1/1/09 0:00,6476821.1,1840456.6,39814,0.146089991
OTH,1/1/09 0:00,6472401.5,1823156.1,39814,0.146090902
OTH,1/1/09 0:00,6483807.7,1846202.3,39814,0.14821649
OTH,1/1/09 0:00,6471138.5,1829098.2,39814,0.148283657
OTH,1/1/09 0:00,6467650.5,1860656.7,39814,0.148532552
BURG,1/1/09 0:00,6474589.6,1819923.2,39814,0.149134567
OTH,1/1/09 0:00,6442295.1,1901067.3,39814,0.149768417
OTH,1/1/09 0:00,6449699.317,1889907.24,39814,0.149993756
OTH,1/1/09 0:00,6478117.6,1800092.8,39814,0.151541595
VAND,1/1/09 0:00,6471089.4,1825142.2,39814,0.151615917
OTH,1/1/09 0:00,6423988.5,1889109.9,39814,0.152375577
OTH,1/1/09 0:00,6451616.604,1836148.681,39814,0.152486829
OTH,1/1/09 0:00,6415402,1904943.4,39814,0.152979615
OTH,1/1/09 0:00,6471887.698,1829758.955,39814,0.153308829
OTH,1/1/09 0:00,6439949.8,1904739.2,39814,0.153621913
OTH,1/1/09 0:00,6470189.1,1806786.3,39814,0.155256018
OTH,1/1/09 0:00,6500359.818,1848865.544,39814,0.157025811
BTFV,1/1/09 0:00,6477319.998,1844756.371,39814,0.15874965
OTH,1/1/09 0:00,6483492.155,1830616.502,39814,0.159759538
OTH,1/1/09 0:00,6465537.3,1834469.3,39814,0.16254748
OTH,1/1/09 0:00,6438192.3,1890321.8,39814,0.163830279
AGG,1/1/09 0:00,6493286.997,1842231.627,39814,0.164521298
VAND,1/1/09 0:00,6440948.1,1884228.1,39814,0.165603863
OTH,1/1/09 0:00,6477848.4,1839469.5,39814,0.168663032
ROBB,1/1/09 0:00,6470688.003,1823496.499,39814,0.169437662
OTH,1/1/09 0:00,6475219.6,1859589.5,39814,0.171376395
OTH,1/1/09 0:00,6438644.706,1829643.575,39814,0.172049647
OTH,1/1/09 0:00,6462966.888,1824339.785,39814,0.17291839
VAND,1/1/09 0:00,6471481.2,1820089.1,39814,0.173246906
OTH,1/1/09 0:00,6486776.5,1839898.6,39814,0.173679767
OTH,1/1/09 0:00,6457486.1,1838263,39814,0.174230082
ROBB,1/1/09 0:00,6482599.5,1813301.375,39814,0.174373706
OTH,1/1/09 0:00,6465458.7,1831479.1,39814,0.177681219
OTH,1/1/09 0:00,6456752,1828423.7,39814,0.177683438
OTH,1/1/09 0:00,6501494.8,1867193.4,39814,0.180033449
OTH,1/1/09 0:00,6484319.1,1862845.9,39814,0.180188217
OTH,1/1/09 0:00,6465350.2,1858623,39814,0.180590441
OTH,1/1/09 0:00,6475904.1,1813534.7,39814,0.181496091
BURG,1/1/09 0:00,6474898,1800296.6,39814,0.181528484
OTH,1/1/09 0:00,6419047.8,1907579.2,39814,0.182616306
OTH,1/1/09 0:00,6429198.9,1807034.5,39814,0.183954266
OTH,1/1/09 0:00,6424605,1904716.1,39814,0.184112777
OTH,1/1/09 0:00,6382655.3,1898398.6,39814,0.184128946
OTH,1/1/09 0:00,6502990.6,1864407.4,39814,0.185625934
OTH,1/1/09 0:00,6480113.7,1870993.6,39814,0.186218141
OTH,1/1/09 0:00,6487253,1828493.1,39814,0.186319759
OTH,1/1/09 0:00,6403207.9,1916485.7,39814,0.186678579
OTH,1/1/09 0:00,6457019.1,1829265.2,39814,0.187117492
OTH,1/1/09 0:00,6467725.6,1822131.2,39814,0.190640391
